TOWNCODE,TOWNENG,COUNTYNAME,TOWNNAME,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
10002030,Yilan_SuaoTownship,宜蘭縣,蘇澳鎮,43665,43305,42986,42417,41855,41382,41018,40726,40493,40056,39682,39155,38864,38272,37867,37458,36882,36413
10002090,Yilan_WujieTownship,宜蘭縣,五結鄉,38469,38797,38850,38772,38999,39230,39378,39559,39657,39673,39543,39959,40297,40539,40662,41052,41600,41737
10002010,Yilan_YilanCity,宜蘭縣,宜蘭市,95874,95831,95568,95521,96016,95985,95885,96051,95907,95918,95732,95562,95395,94869,94679,94991,94890,94561
10002060,Yilan_ZhuangweiTownship,宜蘭縣,壯圍鄉,25072,25109,25004,24674,24551,24468,24492,24258,24236,24250,24302,24424,24366,24391,24417,24380,24469,24479
10002020,Yilan_LuodongTownship,宜蘭縣,羅東鎮,73722,73038,72958,72860,72468,72352,72533,72404,72485,72319,72433,71898,71484,70732,70012,69960,69638,68960
10002070,Yilan_YuanshanTownship,宜蘭縣,員山鄉,32213,32378,32347,32304,32106,32159,32377,32277,32376,32458,32281,32284,32258,32056,31918,32138,31986,32226
10002080,Yilan_DongshanTownship,宜蘭縣,冬山鄉,51722,52330,52635,52975,53363,53731,53482,53634,53327,53289,52880,53103,53024,52928,52761,53249,53117,52938
10002100,Yilan_SanxingTownship,宜蘭縣,三星鄉,21268,21710,21362,21203,21122,21191,21503,21441,21422,21467,21359,21278,21215,21206,21235,21272,21179,21356
10002110,Yilan_DatongTownship,宜蘭縣,大同鄉,5815,6004,5987,5931,5915,6005,6127,6080,6083,6102,6242,6143,6137,6088,6139,6036,5980,5998
10002040,Yilan_TouchengTownship,宜蘭縣,頭城鎮,31300,31161,30899,30556,30304,30043,29890,29798,29666,29398,29133,28985,28819,28544,28453,28292,27982,27868
10002120,Yilan_NanaoTownship,宜蘭縣,南澳鄉,5842,6067,6014,5924,5886,5912,6147,6051,5938,5900,6015,5970,5954,6010,6119,6114,6090,6171
10002050,Yilan_JiaoxiTownship,宜蘭縣,礁溪鄉,35940,35895,35876,35924,36010,35998,35945,35838,35948,35777,35619,35417,35274,35057,34800,34948,35399,36629
10015070,Hualien_GuangfuTownship,花蓮縣,光復鄉,14388,14271,14120,13837,13613,13459,13395,13219,13032,12888,12789,12536,12369,12185,12015,11739,11534,11478
10015090,Hualien_RuisuiTownship,花蓮縣,瑞穗鄉,13163,13086,12863,12588,12372,12170,12107,11926,11757,11653,11668,11433,11312,11123,10968,10755,10584,10388
10015100,Hualien_FuliTownship,花蓮縣,富里鄉,11811,11869,11667,11387,11189,10966,10849,10633,10557,10413,10277,10161,10004,9812,9689,9627,9530,9386
10015050,Hualien_JianTownship,花蓮縣,吉安鄉,79048,79445,79688,80464,81325,82157,82577,83240,83656,83747,83221,83583,83507,83122,82795,83175,83135,83004
10015060,Hualien_ShoufengTownship,花蓮縣,壽豐鄉,19111,18908,18660,18494,18265,18109,18237,18195,18146,18043,17949,17820,17589,17351,17133,16903,16737,16628
10015110,Hualien_XiulinTownship,花蓮縣,秀林鄉,14904,15107,15244,15173,15167,15267,15494,15666,15796,15889,15939,15953,16143,16555,16992,17200,17095,17178
10015030,Hualien_YuliTownship,花蓮縣,玉里鎮,27685,27279,26879,26452,26055,25695,25396,25013,24740,24345,24007,23648,23381,22878,22408,22034,21670,21277
10015130,Hualien_ZhuoxiTownship,花蓮縣,卓溪鄉,6457,6420,6349,6233,6184,6121,6210,6037,6036,6066,6101,6035,6036,5967,6052,5973,5919,5851
10015080,Hualien_FengbinTownship,花蓮縣,豐濱鄉,5174,5135,5065,4857,4668,4632,4706,4541,4439,4383,4752,4476,4376,4327,4315,4213,4147,4082
10015010,Hualien_HualienCity,花蓮縣,花蓮市,110035,109945,109251,108755,108077,107281,106368,105724,105034,104380,103841,103404,102539,100955,99558,99043,98324,96860
10015040,Hualien_XinchengTownship,花蓮縣,新城鄉,20322,20324,20206,20130,20131,20148,20286,20216,20274,20185,20159,20083,20058,20252,20256,20307,20323,20492
10015020,Hualien_FenglinTownship,花蓮縣,鳳林鎮,12308,12174,11957,11712,11532,11397,11237,11115,11004,10861,10846,10802,10821,10679,10536,10435,10306,10136
10015120,Hualien_WanrongTownship,花蓮縣,萬榮鄉,7027,7001,6856,6756,6612,6495,6530,6420,6440,6384,6419,6313,6237,6152,6175,6085,6070,6047
10008010,Nantou_NantouCity,南投縣,南投市,105143,104670,104083,103687,103285,102790,102314,101622,100960,100180,99519,99199,99081,98244,97361,97450,97042,96229
10008020,Nantou_PuliTownship,南投縣,埔里鎮,86189,85779,85088,84596,84300,83701,83021,82212,81574,81033,80340,79789,79191,78107,77244,77035,76303,75613
10008030,Nantou_CaotunTownship,南投縣,草屯鎮,100143,100294,99674,99249,99374,99297,99209,98837,98431,97875,97119,97608,97489,96923,96646,97120,97147,97724
10008040,Nantou_ZhushanTownship,南投縣,竹山鎮,59003,58826,58338,57988,57560,57101,56662,56053,55493,55060,54540,53932,53464,52629,51863,51450,50625,49905
10008050,Nantou_JijiTownship,南投縣,集集鎮,12055,12103,11920,11737,11576,11413,11390,11229,11035,10904,10804,10615,10461,10227,10068,9924,9776,9882
10008060,Nantou_MingjianTownship,南投縣,名間鄉,41589,41603,41218,40966,40682,40382,40019,39666,39220,38796,38265,37951,37507,36925,36234,35801,35133,34557
10008070,Nantou_LuguTownship,南投縣,鹿谷鄉,19437,19376,19100,18947,18878,18667,18538,18234,18010,17808,17687,17509,17231,16850,16477,16182,15832,15454
10008080,Nantou_ZhongliaoTownship,南投縣,中寮鄉,16445,16405,16183,16005,15901,15719,15566,15353,15083,14842,14680,14495,14301,14013,13841,13528,13194,12825
10008090,Nantou_YuchiTownship,南投縣,魚池鄉,17344,17411,17181,16927,16747,16696,16501,16289,16154,15946,15753,15611,15466,15162,14892,14687,14414,14098
10008100,Nantou_GuoxingTownship,南投縣,國姓鄉,21195,20964,20668,20351,20165,19919,19715,19360,19098,18803,18629,18245,17965,17557,17256,16884,16454,15963
10008110,Nantou_ShuiliTownship,南投縣,水里鄉,20593,20383,20063,19700,19341,19071,18717,18339,18015,17803,17496,17247,16980,16665,16387,16085,15800,15452
10008120,Nantou_XinyiTownship,南投縣,信義鄉,17166,17360,17314,17059,16802,16727,16813,16525,16381,16253,16230,16006,15878,15785,15594,15410,15169,14886
10008130,Nantou_RenaiTownship,南投縣,仁愛鄉,15451,15650,15661,15595,15585,15739,15850,15771,15709,15748,15969,15905,15818,15810,15732,15538,15410,15293
10013210,Pingtung_JiadongTownship,屏東縣,佳冬鄉,21711,21715,21377,21030,20799,20538,20247,19905,19689,19380,19121,18846,18620,18321,18095,17888,17591,17323
10013140,Pingtung_ZhutianTownship,屏東縣,竹田鄉,18487,18474,18425,18169,18041,17806,17719,17544,17351,17158,17119,16863,16615,16318,16073,15807,15581,15363
10013050,Pingtung_WandanTownship,屏東縣,萬丹鄉,54521,54309,53980,53515,53125,52536,52085,51647,51261,50935,50514,50427,50126,49696,49457,49252,48946,48586
10013010,Pingtung_PingtungCity,屏東縣,屏東市,214987,213614,211027,209416,207862,205945,203866,202562,201644,200452,199606,198990,197647,195862,193941,193810,192657,191466
10013020,Pingtung_ChaozhouTownship,屏東縣,潮州鎮,56781,55969,55456,55312,55205,55207,54738,54719,54703,54377,53893,53831,53842,53546,53124,53325,53575,53723
10013060,Pingtung_ChangzhiTownship,屏東縣,長治鄉,30994,30979,30944,30686,30600,30488,30429,30305,30159,30008,29677,29536,29470,29337,29126,29190,29229,29192
10013070,Pingtung_LinluoTownship,屏東縣,麟洛鄉,11619,11649,11516,11406,11301,11303,11313,11231,11125,11076,11036,10906,10770,10629,10592,10544,10483,10406
10013080,Pingtung_JiuruTownship,屏東縣,九如鄉,23092,23004,22859,22689,22563,22408,22172,22090,22083,22110,22061,21989,21962,21734,21645,21639,21552,21420
10013090,Pingtung_LigangTownship,屏東縣,里港鄉,26317,26231,25923,25759,26282,26506,26814,27040,26995,26459,26044,25853,25707,25696,25685,25623,25347,24948
10013100,Pingtung_YanpuTownship,屏東縣,鹽埔鄉,27576,27479,27317,27036,26802,26660,26629,26361,26199,25997,25719,25332,24999,24586,24266,23976,23529,23106
10013110,Pingtung_GaoshuTownship,屏東縣,高樹鄉,27325,27226,26797,26331,25999,25682,25520,25163,24882,24622,24384,24006,23775,23439,23182,22764,22336,21935
10013120,Pingtung_WanluanTownship,屏東縣,萬巒鄉,22457,22282,21973,21635,21391,21164,20918,20765,20609,20556,20593,20473,20189,19915,19478,19239,19010,18654
10013130,Pingtung_NeipuTownship,屏東縣,內埔鄉,59105,58685,57955,57508,57070,56550,56148,55644,55181,54707,54115,53583,53330,52544,52258,52501,52646,52760
10013150,Pingtung_XinpiTownship,屏東縣,新埤鄉,10904,10913,10706,10532,10373,10243,10232,10058,9927,9936,9981,9737,9561,9451,9623,9353,9177,8983
10013180,Pingtung_KandingTownship,屏東縣,崁頂鄉,17042,17335,17379,17053,16680,16429,16374,16155,15916,15720,15519,15419,15378,15272,15168,15245,14932,14459
10013200,Pingtung_NanzhouTownship,屏東縣,南州鄉,12016,11919,11700,11522,11276,11130,11026,10857,10808,10670,10639,10513,10364,10133,10049,9882,9698,9600
10013220,Pingtung_LiuqiuTownship,屏東縣,琉球鄉,12550,12620,12300,12169,12145,12415,12675,12517,12423,12337,12364,12232,12121,12104,12216,12265,12190,12076
10013260,Pingtung_SandimenTownship,屏東縣,三地門鄉,7306,7556,7573,7548,7522,7566,7784,7701,7662,7644,7697,7673,7689,7711,7793,7742,7683,7598
10013270,Pingtung_WutaiTownship,屏東縣,霧臺鄉,2684,2915,2978,2966,3106,3199,3435,3329,3285,3246,3354,3295,3247,3259,3324,3265,3235,3166
10013280,Pingtung_MajiaTownship,屏東縣,瑪家鄉,6430,6537,6544,6550,6584,6598,6718,6769,6773,6746,6829,6787,6768,6706,6796,6749,6696,6647
10013290,Pingtung_TaiwuTownship,屏東縣,泰武鄉,4919,5122,5099,5089,5062,5131,5289,5217,5262,5271,5392,5408,5351,5360,5338,5291,5259,5190
10013300,Pingtung_LaiyiTownship,屏東縣,來義鄉,7694,7883,7764,7688,7651,7610,7648,7570,7494,7465,7433,7427,7448,7397,7423,7390,7355,7282
10013310,Pingtung_ChunriTownship,屏東縣,春日鄉,4927,4866,4821,4842,4831,4823,4866,4806,4855,4867,4909,4944,4947,4930,4889,4874,4860,4857
10013320,Pingtung_ShiziTownship,屏東縣,獅子鄉,4949,4983,4873,4815,4789,4776,4882,4806,4827,4806,4954,4912,4839,4888,4891,4777,4905,4825
10013030,Pingtung_DonggangTownship,屏東縣,東港鎮,50360,50234,50141,49568,49185,48585,48262,48058,48097,47866,47613,47161,46731,46268,45908,45946,45936,45879
10013160,Pingtung_FangliaoTownship,屏東縣,枋寮鄉,27137,26986,26628,26218,25971,25693,25482,25120,24826,24571,24323,24023,23680,23246,22969,22757,22593,22321
10013170,Pingtung_XinyuanTownship,屏東縣,新園鄉,39188,38980,38300,37819,37429,37117,36692,36217,35680,35321,34880,34468,33939,33447,33091,32674,32198,31703
10013190,Pingtung_LinbianTownship,屏東縣,林邊鄉,21101,21143,20854,20286,19909,19573,19235,18896,18317,18080,17795,17583,17275,17023,16762,16449,16087,15821
10013230,Pingtung_ChechengTownship,屏東縣,車城鄉,9954,9999,9625,9410,9196,9106,9121,8917,8741,8586,8577,8403,8278,8181,8194,8029,7842,7694
10013240,Pingtung_ManzhouTownship,屏東縣,滿州鄉,8541,8679,8453,8256,8243,8124,8126,7999,7847,7840,7968,7686,7471,7353,7454,7235,7063,6927
10013250,Pingtung_FangshanTownship,屏東縣,枋山鄉,6156,6180,6062,5919,5855,5775,5749,5644,5535,5478,5498,5349,5240,5150,5128,5013,4966,4905
10013330,Pingtung_MudanTownship,屏東縣,牡丹鄉,4865,5004,4995,4920,4836,4777,4864,4767,4853,4926,4981,4867,4865,4849,4866,4756,4707,4671
10013040,Pingtung_HengchunTownship,屏東縣,恆春鎮,31143,31170,31165,30867,30758,30823,30859,30874,30783,30726,30818,30662,30414,30089,29899,29747,29375,28770
10005160,Miaoli_SanwanTownship,苗栗縣,三灣鄉,7400,7393,7264,7210,7191,7126,7132,6994,6884,6756,6613,6532,6364,6201,6143,5975,5814,5664
10005110,Miaoli_NanzhuangTownship,苗栗縣,南庄鄉,11301,11318,11117,11010,10863,10742,10674,10577,10391,10176,10042,9813,9573,9328,9046,8843,8686,8576
10005010,Miaoli_MiaoliCity,苗栗縣,苗栗市,91136,90826,90703,90900,91007,91109,90963,90469,89892,89165,88216,87976,87671,86939,86112,86307,86025,85838
10005070,Miaoli_ZhuolanTownship,苗栗縣,卓蘭鎮,18391,18497,18446,18417,18480,18460,18353,18057,17612,17134,16732,16448,16196,15866,15514,15212,14890,14483
10005080,Miaoli_DahuTownship,苗栗縣,大湖鄉,16165,16186,16052,15899,15798,15694,15549,15276,15070,14738,14482,14194,13884,13530,13219,12964,12641,12310
10005090,Miaoli_GongguanTownship,苗栗縣,公館鄉,34744,34813,34745,34847,34932,34790,34847,34536,34210,33773,33261,32754,32397,31867,31445,31235,30871,30461
10005100,Miaoli_TongluoTownship,苗栗縣,銅鑼鄉,19597,19633,19401,19332,19178,19036,18909,18710,18465,18138,17871,17588,17279,16871,16682,16505,16265,16079
10005120,Miaoli_TouwuTownship,苗栗縣,頭屋鄉,11678,11702,11605,11513,11454,11408,11377,11236,11102,10840,10667,10455,10240,10026,9948,9788,9627,9354
10005130,Miaoli_SanyiTownship,苗栗縣,三義鄉,17643,17713,17548,17487,17495,17411,17235,17020,16813,16530,16204,15970,15665,15388,15151,14949,14713,14485
10005140,Miaoli_XihuTownship,苗栗縣,西湖鄉,7924,7939,7869,7801,7748,7649,7589,7466,7288,7154,7033,6877,6729,6558,6440,6258,6035,5875
10005150,Miaoli_ZaoqiaoTownship,苗栗縣,造橋鄉,13725,13737,13727,13687,13626,13517,13456,13354,13166,12952,12701,12473,12177,11956,11706,11602,11582,11548
10005170,Miaoli_ShitanTownship,苗栗縣,獅潭鄉,5048,5059,4928,4821,4777,4678,4725,4606,4475,4417,4331,4231,4158,4117,4149,4095,4008,3943
10005180,Miaoli_TaianTownship,苗栗縣,泰安鄉,5701,5950,5982,5947,5892,5969,6157,6045,5930,5883,6039,5888,5782,5691,5739,5643,5511,5401
10005020,Miaoli_YuanliTownship,苗栗縣,苑裡鎮,49034,49016,48645,48506,48452,48493,48589,47849,47040,45976,45211,44848,44562,44256,43927,43728,43446,43237
10005030,Miaoli_TongxiaoTownship,苗栗縣,通霄鎮,38773,38535,37977,37614,37449,37155,36941,36172,35433,34691,33992,33471,33061,32441,31835,31300,30893,30618
10005040,Miaoli_ZhunanTownship,苗栗縣,竹南鎮,76323,77344,78420,79656,80864,82351,83622,84469,85010,85587,86130,86565,87190,87365,88364,89708,90668,91538
10005060,Miaoli_HoulongTownship,苗栗縣,後龍鎮,40127,39822,39389,38986,38777,38439,38360,37837,37251,36750,36257,35675,35221,34694,34358,34113,33701,33531
10005050,Miaoli_ToufenCity,苗栗縣,頭份市,95687,96261,97150,98377,99993,101527,102654,103239,103157,103147,103081,103701,104441,105084,105354,106350,107478,108231
68000050,Taoyuan_LuzhuDistrict,桃園市,蘆竹區,135768,138727,142120,143886,146779,149852,151354,155403,158802,161912,164384,166406,167060,166394,167205,169237,169936,170556
68000070,Taoyuan_GuishanDistrict,桃園市,龜山區,133977,135692,137996,138355,139605,140509,141998,145580,152817,157633,160591,162921,164398,166767,172274,178297,183895,188328
68000130,Taoyuan_FuxingDistrict,桃園市,復興區,10454,10611,10670,10684,10626,10625,10913,10930,11192,11505,12026,12176,12354,12656,13053,13210,13261,13296
68000030,Taoyuan_DaxiDistrict,桃園市,大溪區,91146,91875,92081,91979,91891,91961,91887,93343,94102,94451,94885,95550,95664,94870,94313,94607,94404,93799
68000080,Taoyuan_BadeDistrict,桃園市,八德區,173585,175127,176868,177435,178889,179502,181431,187420,192922,198074,202198,205974,209202,209665,209952,213403,214690,216058
68000010,Taoyuan_TaoyuanDistrict,桃園市,桃園區,397056,401096,406851,410113,413488,415414,417366,427145,434243,440840,447302,452824,457245,458847,462338,470683,475798,478487
68000060,Taoyuan_DayuanDistrict,桃園市,大園區,80274,81309,81966,82136,82756,83586,84531,85565,87158,89281,90888,93078,93887,92172,85991,86634,88166,89713
68000040,Taoyuan_YangmeiDistrict,桃園市,楊梅區,145347,148092,150926,152441,154324,155754,157200,161098,163959,167639,170380,173049,175142,176757,177602,180032,181526,182837
68000110,Taoyuan_XinwuDistrict,桃園市,新屋區,49683,49576,49112,48652,48276,48025,48058,48409,48772,48953,49210,49256,49333,49094,49205,49277,49389,49723
68000120,Taoyuan_GuanyinDistrict,桃園市,觀音區,60368,60831,61077,61676,62612,63003,63602,64785,65555,66472,67358,67956,69032,69995,73026,74521,75874,77526
68000020,Taoyuan_ZhongliDistrict,桃園市,中壢區,362129,365109,369770,372429,376217,378918,381449,389782,396453,405216,412063,417380,422471,422529,423722,431255,435050,439213
68000090,Taoyuan_LongtanDistrict,桃園市,龍潭區,113633,114266,115166,114958,115146,115728,116211,118433,120201,121822,123175,124031,124408,124442,124973,126603,127270,127360
68000100,Taoyuan_PingzhenDistrict,桃園市,平鎮區,205266,206471,207457,208561,209552,211146,212328,217887,221587,224219,226412,228436,228611,228203,227810,229686,229389,228210
64000110,Kaohsiung_XiaogangDistrict,高雄市,小港區,153123,153896,154548,154772,155779,156115,156171,156256,157023,157475,157742,157793,157356,156035,154808,155009,154354,153310
64000010,Kaohsiung_YanchengDistrict,高雄市,鹽埕區,28067,27651,27399,26723,26222,25847,25400,25032,24659,24219,24059,23889,23553,22912,22481,22539,22275,21871
64000060,Kaohsiung_XinxingDistrict,高雄市,新興區,56704,55744,55287,54345,53749,53170,52534,51955,51431,51153,51032,51014,50490,49383,49068,49598,49573,49380
64000070,Kaohsiung_QianjinDistrict,高雄市,前金區,29774,29208,28859,28446,28250,28038,27832,27388,27151,26991,26831,26879,26668,26416,26633,27098,27199,27670
64000090,Kaohsiung_QianzhenDistrict,高雄市,前鎮區,200614,199951,199144,197693,196246,194835,193952,192593,191262,189839,188340,187524,185828,182805,180282,179854,178290,176845
64000040,Kaohsiung_NanziDistrict,高雄市,楠梓區,170416,171906,173053,173969,175798,177579,178532,179931,181845,183751,185687,187999,189426,190149,191313,193139,194404,195613
64000120,Kaohsiung_FengshanDistrict,高雄市,鳳山區,339240,339952,341120,345346,349816,352574,354093,356320,357768,359120,359519,359882,359576,357946,356016,356536,355175,353000
64000140,Kaohsiung_DaliaoDistrict,高雄市,大寮區,109449,109257,108984,109157,109780,110449,111191,111663,112258,112397,112421,112259,112265,111933,111514,111986,112213,112239
